height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
192,1,8,40,8,23,4,0,0,NA,0.6,Disagree,6,Worse off,NA,2,4,4,1,Male
185,3,1,20,7,20,1,0,0,NA,1,Disagree,7,Better off,Not having children at all,2,5,2,200,Male
175,2,2,35,7,20,2,1,0,NA,1,Disagree,10,Better off,Having children later in her career,4,4,5,509,Male
175,2,4,8,7,50,3,1,0,NA,-1,Agree,6,Better off,NA,4,4,4,89,Male
164.6,2,1,30,6.5,25,1,1,0,NA,1,Disagree,8,Better off,Having children later in her career,2,5,4,421,Female
166,2,3,15,7,10,1,1,0,NA,1,Disagree,NA,NA,NA,NA,NA,5,500,Female
155,2,2,15,7,10,2,1,0,NA,1,Disagree,8,Better off,Not having children at all,2,3,4,500,Female
176,3,7,20,8,0,2,0,1,NA,-0.8,Agree,8,Worse off,NA,2,1,4,825,Male
190,3,4,80,7,35,2,0,1,NA,1,Disagree,10,Worse off,Not having children at all,5,3,4,652,Male
178,2,2,10,8,10,1,0,1,NA,1,Disagree,NA,NA,NA,NA,NA,NA,1000,Female
170,1,2,20,7,10,2,0,0,0,1,Agree,8,Better off,Not having children at all,4,4,5,500,Female
162,1,3,42,7,20,3,0,0,0,1,Disagree,10,Better off,Having children early on in her career,4,3,5,800,Female
172,3,0,20,8,70,3,0,0,0,1,Agree,7,Better off,Not having children at all,3,2,5,272,Female
168,1,10,68,7.3,55.5,2,0,0,0,1,Disagree,10,Better off,Not having children at all,3,1,4,2,Female
158,1,5,0,6,150,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,3,2,3,1000,Female
160,1,7,50,8,125,3,0,0,0,0.5789000000000001,Agree,6,Worse off,Not having children at all,4,5,5,0,Female
177,1,1,35,8,50,2,0,0,0,-1,Disagree,10,Better off,Having children later in her career,3,4,5,300,Male
163,1,2,40,6,60,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,4,4,2,700,Female
164,1,4,60,9,15,3,0,0,0,1,Disagree,10,Better off,Not having children at all,4,3,4,0,Female
170,0,0,70,7,20,3,0,0,0,1,Disagree,3,Better off,Not having children at all,4,4,1,0,Female
168,2,3,60,7,200,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,4,4,4,200,Female
175,1,5,20,7,3,4,0,0,0,1,Disagree,8,Better off,Not having children at all,2,4,1,422,Male
180,3,1,100,7,25,3,0,0,0,1,Disagree,9,Better off,Having children later in her career,3,3,3,500,Male
159,1,3,30,8,40,2,0,0,0,-1,Disagree,8,Better off,Having children later in her career,2,1,4,1000,Female
161,1,3,40,7,100,2,0,0,0,0.5,Disagree,9,Better off,Not having children at all,4,3,5,180,Female
178,2,10,50,8,15,4,0,0,0,-0.7,Agree,8,Better off,Having children later in her career,4,4,4,500,Male
180.34,1,3,20,6,13.84,2,0,0,0,0.3,Agree,9,Better off,Having children early on in her career,3,3,5,323,Male
186,1,3,70,7,25,4,0,0,0,-0.85,Disagree,8,Worse off,Not having children at all,4,1,5,250,Male
180,2,3,10,7,15,5,0,0,0,1,Disagree,10,Worse off,Having children later in her career,4,4,5,1000,Male
188,3,0,60,7,40,2,0,0,0,1,Disagree,10,Better off,Having children later in her career,3,2,4,232,Male
163,0,12,24,7,40,2,0,0,0,1,Agree,5,Better off,Having children early on in her career,3,5,2,1190,Female
180,1,4,20,8,10,3,0,0,0,1,Disagree,10,Better off,Not having children at all,3,3,3,250,Male
167,1,10,50,8,30,3,0,0,0,0.5,Agree,8,Worse off,Not having children at all,4,5,4,20,Female
175,2,2,37,7,15,2,0,0,0,0.8460000000000001,Disagree,10,Better off,NA,3,1,5,640,Male
168,2,3,42,6,20,2,0,0,0,0.5,Disagree,8,Better off,Having children later in her career,3,2,3,752,Male
166,2,4,44,8,0,2,0,0,0,1,Disagree,9,Better off,Not having children at all,3,5,3,50,Female
168,1,14,56,7,15,3,0,0,0,1,Agree,7,Better off,Having children early on in her career,4,4,5,78,Female
178,1,15,15,8,4,4,0,0,0,1,Disagree,7,Better off,Having children later in her career,4,4,5,15,Male
190,2,0,30,7.5,25.6,3,0,0,0,1,Agree,7,Worse off,Not having children at all,2,3,5,0,Male
185,2,7,20,8,40,2,0,0,0,1,Disagree,9,Better off,Having children later in her career,4,4,5,803,Male
178,1,0,70,7.5,60,2,0,0,0,1,Disagree,7,Worse off,Not having children at all,4,5,2,91,Male
174,2,2,8,7,25,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,4,4,4,3000,Female
158,0,5,35,6,6,2,0,0,0,0.5,Agree,7,Better off,Having children early on in her career,4,3,4,43,Female
165,2,2,30,7,15,4,0,0,0,0.6,Agree,8,Better off,Having children early on in her career,4,3,4,70,Female
163,1,5,63,6,4.44,2,0,0,0,1,Disagree,10,Better off,Not having children at all,4,1,5,0,Female
181,1,12,50,7.5,9,1,0,0,0,0.5,Agree,10,Worse off,Having children later in her career,4,NA,4,81,Male
169,1,2,30,8,90,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,2,2,3,5,Female
160,2,1,10,7,40,3,0,0,0,-1,Disagree,7,Worse off,Not having children at all,2,3,4,500,Female
166,2,4.5,10,7,150,2,0,0,0,0.8,Disagree,10,Worse off,Not having children at all,3,2,5,100,Female
159,1,5,70,7,3,1,0,0,0,0.6,Agree,8,Better off,Having children later in her career,2,1,5,340,Female
168,2,3,45,7,10,3,0,0,0,1,Disagree,10,Better off,Not having children at all,4,5,5,1638,Female
176,1,6,25,8,5,4,0,0,0,0.55,Disagree,8,Better off,Not having children at all,3,1,5,35,Male
164,1,3,40,7,10,2,0,0,0,0.9,Agree,7,NA,Not having children at all,NA,3,NA,2,Female
165,3,2,6,7,5,3,0,0,0,0.13,Disagree,7,Worse off,Not having children at all,3,3,5,1000,Female
187,3,4,20,7,25,4,0,0,0,1,Disagree,10,Better off,Not having children at all,4,2,5,543,Male
185,1,6,100,7,15,3,0,0,0,1,Disagree,8,Better off,Having children early on in her career,5,3,5,500,Male
170,1,1,30,7,40,2,0,0,0,1,Agree,7,Worse off,Not having children at all,4,4,5,781,Female
164,1,0,60,6,150,5,0,0,0,-1,Agree,4,Better off,Having children early on in her career,3,3,3,200,Female
165,1,8,40,8,100,2,0,0,0,0.3,Disagree,10,Better off,Having children later in her career,3,1,5,10,Male
175,2,0,91,6,8,3,0,0,0,0.9,Disagree,9,Worse off,Not having children at all,2,1,3,758,Male
162,1,5,56,7,62,3,0,0,0,1,Disagree,9,Better off,Not having children at all,3,2,5,103,Female
175,2,4,20,6,60,4,0,0,0,-0.9,Disagree,10,Worse off,Not having children at all,3,1,5,650,Male
162,1,4,45,7,15,2,0,0,0,0.6,Disagree,9,Better off,Having children later in her career,4,4,4,0,Female
167,1,1,20,8,5,2,0,0,0,1,Agree,8,Worse off,Not having children at all,3,4,4,0,Female
183,3,5,40,8,50,2,0,0,0,1,Disagree,8,Worse off,Not having children at all,4,2,5,600,Male
168,1,7,50,7,10,3,0,0,0,1,Disagree,8,Worse off,Not having children at all,4,3,4,30,Female
165,1,7,28,8,40,3,0,0,0,0.56,Disagree,10,Better off,Not having children at all,4,5,4,0,Female
172,1,3,15,8,60,3,0,0,0,1,Disagree,7,Better off,Having children early on in her career,4,2,4,325,Female
161,0,4,28,8,30,2,0,0,0,1,Disagree,10,Worse off,Not having children at all,4,5,5,0,Female
159,1,5,45,6.5,10,2,0,0,0,0.6699999999999999,Disagree,9,Better off,Not having children at all,3,4,4,500,Female
165,3,4,10,8,100,2,0,0,0,1,Disagree,8,Worse off,Having children later in her career,3,4,5,100,Female
160,1,0,50,12,50,5,0,0,0,0.14,Agree,9,Better off,Having children later in her career,3,2,3,50,Female
157,2,1,10,7,200,3,0,0,0,1,Disagree,8,Better off,Having children later in her career,3,4,5,879,Female
167,0,5,35,7,70,1,0,0,0,1,Agree,10,Worse off,Not having children at all,3,2,4,122,Female
173,0,2,30,7,50,3,1,0,0,0.6,Agree,9,Better off,Having children later in her career,4,3,5,500,Female
161,1,5,40,7.5,4,3,1,0,0,1,Disagree,8,Better off,Having children later in her career,4,3,4,542,Female
180,0,4,30,7,5,2,1,0,0,1,Agree,10,Better off,Having children early on in her career,4,2,5,1073,Male
177,0,2,40,8,20,2,1,0,0,1,Agree,10,Worse off,Having children early on in her career,4,5,5,1000,Male
180,4,2,30,8,10,3,1,0,0,1,Disagree,9,Better off,Not having children at all,4,4,5,537,Male
172,2,0,56,8,30,1,1,0,0,0.5,Disagree,7,Better off,Having children later in her career,2,1,4,0,Female
164,1,5,70,7,10,1,1,0,0,1,Agree,10,Better off,Not having children at all,5,5,2,100,Male
173,2,7,40,8,5,3,1,0,0,0.25,Disagree,9,Better off,Having children later in her career,2,2,4,1000,Male
167,6,3,5,7,15,2,1,0,0,0.5,Agree,1,Better off,Having children early on in her career,4,5,5,1706,Female
